concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row
1035781000000109,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),3,Certainly true,0,2016-04-01,6.0.7.1,351
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),999,Don't know/Missing,0,2016-04-01,4.1,49
1035781000000109,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),999,Don't know/Missing,0,2016-04-01,5.0,49
1035781000000109,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 8 score - the facilities here are comfortable (e.g. waiting area),999,Don't know/Missing,0,2016-04-01,6.0.7.1,352
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",1,Not True,0,2016-04-01,4.1,50
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",1,Not True,0,2016-04-01,5.0,50
1035791000000106,Experience of Service Questionnaire (ESQ),"Experience of Service Questionnaire (ESQ) Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",1,Not True,0,2016-04-01,6.0.7.1,353
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",2,Partly true,0,2016-04-01,4.1,51
1035791000000106,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),"Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",2,Partly true,0,2016-04-01,5.0,51
1035791000000106,Experience of Service Questionnaire (ESQ),"Experience of Service Questionnaire (ESQ) Parent or Carer item 9 score - the appointments are usually at a convenient time (e.g. do not interfere with work, school)",2,Partly true,0,2016-04-01,6.0.7.1,354
