snomed_code,snomed_term,status,category
762328006,Mood disorder caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
789119007,Mood disorder caused by synthetic cannabinoid (disorder),QUALIFYING,Current misuse or dependence
762511009,Mood disorder caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
838530009,Mood disorder with depressive symptoms caused by amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
724678004,Mood disorder with depressive symptoms caused by anxiolytic (disorder),QUALIFYING,Current misuse or dependence
724690002,Mood disorder with depressive symptoms caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
762345001,Mood disorder with depressive symptoms caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
762342003,Mood disorder with depressive symptoms caused by ecstasy type drug (disorder),QUALIFYING,Current misuse or dependence
762336002,Mood disorder with depressive symptoms caused by hallucinogen (disorder),QUALIFYING,Current misuse or dependence
724677009,Mood disorder with depressive symptoms caused by hypnotic (disorder),QUALIFYING,Current misuse or dependence
762321000,Mood disorder with depressive symptoms caused by opioid (disorder),QUALIFYING,Current misuse or dependence
724676000,Mood disorder with depressive symptoms caused by sedative (disorder),QUALIFYING,Current misuse or dependence
762329003,Mood disorder with depressive symptoms caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
762512002,Mood disorder with depressive symptoms caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
762339009,Mood disorder with depressive symptoms caused by volatile inhalant (disorder),QUALIFYING,Current misuse or dependence
838528007,Mood disorder with manic symptoms caused by amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
724691003,Mood disorder with manic symptoms caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
762344002,Mood disorder with manic symptoms caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
762341005,Mood disorder with manic symptoms caused by ecstasy type drug (disorder),QUALIFYING,Current misuse or dependence
762335003,Mood disorder with manic symptoms caused by hallucinogen (disorder),QUALIFYING,Current misuse or dependence
762320004,Mood disorder with manic symptoms caused by opioid (disorder),QUALIFYING,Current misuse or dependence
762513007,Mood disorder with manic symptoms caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
762338001,Mood disorder with manic symptoms caused by volatile inhalant (disorder),QUALIFYING,Current misuse or dependence
838529004,Mood disorder with mixed depressive and manic symptoms caused by amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
724692005,Mood disorder with mixed depressive and manic symptoms caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
762346000,Mood disorder with mixed depressive and manic symptoms caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
