snomed_code,description
28173006,"Follicular adenocarcinoma, well differentiated"
28189009,Mobitz type II atrioventricular block
28237007,Melanotic neurofibroma
28307001,Germinoma
28325008,Polyembryoma
28351005,Myxosarcoma
28366008,Cerebral arteritis
28536002,Toxic megacolon
28558000,Villous adenocarcinoma
28574005,Congenital anomaly of coronary artery
28634005,Cerebral ataxia
28655007,"Liposarcoma, well differentiated"
28656008,Congenital insufficiency of aortic valve
28681006,Metaphyseal chondrodysplasia
28728008,"Polycystic kidney disease, adult type"
28733007,Compound odontoma
28740008,Trigonocephaly
28770003,"Polycystic kidney disease, infantile type"
28801006,Resolving infantile idiopathic scoliosis
28861008,Crouzon syndrome
28880005,Rheumatoid carditis
28882002,Disorder of sulphur-bearing amino acid metabolism
28899001,Squamous cell carcinoma
28941001,Congenital adhesion
28950004,Acute promyelocytic leukaemia with PML::RARA fusion
28953002,Angiomyosarcoma
28978003,Progressive supranuclear ophthalmoplegia
29020002,Complex odontoma
29094004,Disorder of porphyrin metabolism
29110005,Congenital absence of small intestine
29145002,Schwartz-Jampel syndrome
29159009,Familial dysautonomia
29322000,Acute cerebrovascular insufficiency
29352008,Thanatophoric dysplasia
29370006,Malignant phaeochromocytoma
29570005,Leigh's disease
29618004,Striatonigral degeneration
29633007,Glycogen storage disease
29642000,Congenital adhesions of peritoneum
29717002,Premature beats
29774004,Vascular myelopathy
29792007,Trabecular adenocarcinoma
29928006,Congenital insufficiency of mitral valve
29980002,Congenital malrotation of intestine
30023002,Hydranencephaly
30156004,Cribriform carcinoma
30171000,Disorder of adrenal gland
30188007,Alpha-1-antitrypsin deficiency
30275001,Accessory kidney
30289006,Endometrioid carcinoma
30301008,Microfollicular adenoma
30383009,"Mesothelioma, biphasic, malignant"
30468000,Dolichocolon
30546008,Clear cell adenocarcinoma
30566004,Noninfiltrating intraductal papillary adenocarcinoma
30649006,Basal cell tumour
30652003,Hypermobile Ehlers-Danlos syndrome
30664006,"Multiple endocrine neoplasia, type 1"
30667004,Right bundle branch block AND left anterior fascicular block
30699005,Carotid body tumour
30713000,Hypernephroid tumour
30753002,Normal pressure hydrocephalus
30913008,Disorder of iron metabolism
30915001,Holoprosencephaly sequence
30924005,Rhabdomyosarcoma
30962008,Acute myelomonocytic leukaemia
31047003,Lymphomatoid papulosis
31131002,"Vipoma, malignant"
31186001,Chondroma
31216003,Profound learning disability
31290005,Congenital hydroureter
31296004,Granulosa cell-theca cell tumour
31323000,Severe combined immunodeficiency disease
31396002,Goblet cell carcinoid
31430005,Medication-induced postural tremor
31470003,Adenosarcoma
31541009,Sarcoidosis
31671006,Pineoblastoma
31686000,Congenital anomaly of lower alimentary tract
31712002,Primary biliary cholangitis
31742004,Arteriohepatic dysplasia
31758001,Post-ictal state
31794002,Sympathetic paraganglioma
31848007,CREST syndrome
31925001,Hereditary factor I deficiency disease
32037004,Glomus jugulare tumour
32071008,Strumal carcinoid
32140001,Papillary cystadenoma
32219008,Craniorachischisis
32232003,Spina bifida of cervical region
32272007,Sweat gland adenocarcinoma
32273002,Idiopathic thrombocytopenic purpura
32280000,Lymphoid leukaemia
32296002,Intraductal papillomatosis
32390006,Panhypopituitarism
32434004,Pulmonary adenomatosis
32456001,Desmoplastic medulloblastoma
32512003,"Extra-adrenal paraganglioma, malignant"
32599008,Haemodialysis-associated amyloidosis
32659003,Congenital hypoplasia of kidney
32844007,Mixed germ cell tumour
32891000,Rotor syndrome
32913002,Medullary carcinoma
32914008,Restless legs
32968003,Inflammatory carcinoma
32985001,Greig cephalopolysyndactyly syndrome
33059009,Trichofolliculoma
33116002,Hydroxykynureninuria
33170000,Mucinous adenoma
33322003,Congenital deformity of forehead
33413000,Ectopic beats
33681003,Osteosarcoma in Paget's disease of bone
33927004,Hypogonadotropic hypogonadism
33995003,Acquired megacolon
34000006,Crohn's disease
34110004,"Sertoli-Leydig cell tumour, well differentiated"
34253008,Myopathy in Addison's disease
34337008,Prolactinoma
34360000,"Fibrous histiocytoma, malignant"
34550005,Glomangiomyoma
34603009,Basal cell adenocarcinoma
34643004,Diaphyseal dysplasia
34736002,Chronic passive congestion of liver
34748004,Adams-Oliver syndrome
34774005,Congenital absence of bronchus
34821005,Congenital stenosis of choanae
34882000,Giant fibroadenoma
34941004,Odontogenic myxoma
35111009,Trisomy X syndrome
35232005,Infiltrating duct and lobular carcinoma
35262004,Gliosarcoma
35266001,Congenital duplication of appendix
35287006,Myeloid sarcoma
35400008,Hereditary haemochromatosis
35434009,Sickle cell-haemoglobin C disease
35486000,Subdural haemorrhage
35562000,Waldenstrom's macroglobulinaemia
35601003,Monoclonal gammopathy of undetermined significance
35701008,Haemangioblastic meningioma
35718007,"Squamous cell carcinoma, small cell, nonkeratinising"
35728003,Familial cardiomyopathy
35917007,Adenocarcinoma
36010004,Congenital cerebral meningocele
36060005,Haemangiopericytoma
36070007,Wiskott-Aldrich syndrome
36078000,Perinatal pneumopericardium
36087009,Adenocarcinoma in villous adenoma
36110001,Congenital anomaly of pulmonary artery
36233006,Congenital stenosis of tricuspid valve
36310008,Alveolar adenocarcinoma
36318001,Apocrine adenoma
36376006,Congenital absence of oesophagus
36422005,Transposition of pulmonary veins
36425007,Comedocarcinoma
36444000,Disorder of the urea cycle metabolism
36517007,Polyostotic fibrous dysplasia of bone
36601008,Craniometaphyseal dysplasia
36619004,Congenital duplication of cystic duct
36659001,Congenital notching of tip of nose
36721002,Papillary mucinous cystadenoma
36760000,Hepatosplenomegaly
36775008,Displaced ureteric orifice
37039006,Chromophobe adenoma
37054000,Congenital atresia of colon
37095002,Lipomatosis
37193007,Factor VII deficiency
37206003,"Synovial sarcoma, spindle cell"
37258009,Cementoma
37302003,"Adrenal cortical adenoma, pigmented"
37304002,Basosquamous carcinoma
37340000,Motor neuron disease
37356005,Myoclonic seizure
37373007,Meckel's diverticulum
37506004,4q partial monosomy syndrome
37528004,Malrotation of caecum
37760005,Left anterior fascicular block
37810007,Myeloid leukaemia
37891007,Discoid kidney
37939008,Congenital anomaly of the bladder
37960002,Sanger-Brown cerebellar ataxia
37995004,Linitis plastica
38023001,Locked in syndrome
38074009,Abnormality of cortisol-binding globulin
38086007,Laryngomalacia
38106008,Crohn's disease of ileum
38116000,Hydromyelocele
38371006,Poland anomaly
38385001,Persistent left posterior cardinal vein
38406003,"Mesenchymoma, benign"
38431002,Psammomatous meningioma
38549000,"Carcinoma, undifferentiated"
38713004,Astrocytoma
38804009,Turner syndrome
38827001,Congenital fusion of spine
38837006,Acquired porencephaly
38911009,Hereditary haemolytic anaemia
38958001,Mixed cell adenocarcinoma
39005004,Medulloepithelioma
39011001,Haemosiderosis
39056008,Papillary squamous cell carcinoma
39086001,"Hodgkin lymphoma, nodular sclerosis, cellular phase"
39143003,Myxoma
39150004,Congenital anomaly of spinal meninges
39332000,Intraepidermal epithelioma of Jadassohn
39465007,Emotional deprivation syndrome
39471001,Bile duct adenoma
39476006,Congenital stricture of rectum
39553005,Chondromyxoid fibroma
39577004,Tumour cells of uncertain behaviour
39719008,Transposition of intestine
39720002,"Adrenal cortical adenoma, mixed cell"
39781001,Primitive neuroectodermal tumour
39795003,Hand-Schüller-Christian disease
39839004,Diaphragmatic hernia
39892006,Mucoepidermoid tumour of uncertain behaviour
39905002,Scimitar syndrome
39912006,Hereditary spastic paraplegia
39925003,"Juvenile myopathy, encephalopathy, lactic acidosis, stroke"
39929009,Disorder of fatty acid metabolism
40009002,Craniopharyngioma
40108008,Thalassaemia
40123003,Fetal rhabdomyoma
40225001,Cystic lymphangioma
40293003,Adenomyoma
40315008,Annular pancreas
40354009,De Lange syndrome
40411000,"Follicular lymphoma, grade 3"
40445007,Heart valve regurgitation
40527005,Idiopathic pulmonary haemosiderosis
40700009,Severe learning disability
40761005,Lipid cell tumour of ovary
40935003,Meningiomatosis
40964007,Chronic valvulitis
41013004,Argininosuccinate lyase deficiency
41040004,Complete trisomy 21 syndrome
41069008,Langer-Giedion syndrome
41075004,Fungal infection of brain
41183007,"Mesothelioma, benign"
41252002,Plexiform neurofibroma
41299009,Iatrogenic Cushing's disease
41382006,Pericanalicular fibroadenoma
41443008,Multiple malformation syndrome with limb defect as major feature
41529000,"Hodgkin lymphoma, mixed cellularity"
41556003,Angiocentric immunoproliferative lesion
41574007,Paramyotonia congenita
41607009,Renal cell carcinoma
41729002,Horseshoe kidney
41764006,Monoplegia of upper limb
41841004,Sideroblastic anaemia
41889008,Chronic persistent hepatitis
41919003,Juvenile carcinoma of the breast
41962002,Oligohydramnios sequence
42194009,"Brenner tumour, malignant"
42295001,Familial amyloid polyneuropathy
42324007,Congenital duplication of caecum
42343007,Congestive heart failure
42376006,Occipital encephalocele
42392001,Epithelioid leiomyosarcoma
42432003,"Oto-palato-digital syndrome, type II"
42596004,Giant cell carcinoma
42666000,Congenital anomaly of tracheal cartilage
42685002,Adhesion
42908004,"Primary atelectasis, in perinatal period"
42994005,Nonruptured cerebral aneurysm
43019009,Nelson syndrome
43149009,Pulmonary blastoma
43152001,Central core disease
43296007,Round cell liposarcoma
43369006,"Basal cell carcinoma, fibroepithelial"
43383008,Congenital diverticulum of bronchus
43904005,Macronodular cirrhosis
43916004,"Mucopolysaccharidosis, MPS-VII"
43929004,Smith-Lemli-Opitz syndrome
